id,funding_round_id,funded_object_id,investor_object_id,,
226,131,c:155,f:26,,
227,131,c:155,f:25,,
228,131,c:155,f:91,,
229,131,c:155,f:741,,
230,132,c:156,f:109,,
231,132,c:156,f:94,,
232,132,c:156,f:13,,
233,133,c:156,f:109,,
234,133,c:156,f:94,,
235,133,c:156,f:13,,
236,134,c:156,f:94,,
237,134,c:156,f:13,,
238,134,c:156,f:636,,
239,135,c:77,f:13,,
240,135,c:77,f:773,,
241,136,c:157,f:105,,
242,136,c:157,f:95,,
243,137,c:149,f:107,,
244,138,c:149,f:4,,
245,138,c:149,f:26,,
246,138,c:149,f:80,,
247,139,c:149,f:4,,
248,139,c:149,f:26,,
249,139,c:149,f:80,,
250,139,c:149,f:107,,
251,139,c:149,f:262,,
252,140,c:162,f:111,,
253,140,c:162,f:18,,
254,140,c:162,f:110,,
255,141,c:161,f:50,,
256,141,c:161,f:112,,
257,141,c:161,f:80,,
258,142,c:161,f:113,,
259,142,c:161,f:50,,
260,142,c:161,f:112,,
261,142,c:161,f:80,,
262,142,c:161,f:1287,,
263,143,c:164,f:1635,,
264,144,c:164,f:116,,
265,145,c:169,f:48,,
266,145,c:169,f:4,,
267,146,c:357,f:49,,
268,147,c:170,f:17,,
269,148,c:170,f:118,,
270,148,c:170,f:17,,
271,149,c:173,f:17,,
272,149,c:173,f:74,,
273,150,c:173,f:26,,
274,152,c:176,f:17,,
275,153,c:176,f:1,,
276,154,c:176,f:42,,
277,154,c:176,f:319,,
278,155,c:177,f:122,,
279,158,c:179,f:111,,
280,159,c:179,f:123,,
281,160,c:175,f:124,,
282,161,c:180,f:125,,
283,161,c:180,f:126,,
284,161,c:180,f:127,,
285,161,c:180,f:128,,
286,161,c:180,f:67,,
287,162,c:181,f:129,,
288,163,c:182,f:130,,
289,168,c:183,f:26,,
290,169,c:187,f:133,,
291,169,c:187,f:131,,
292,169,c:187,f:132,,
293,170,c:187,f:133,,
294,170,c:187,f:131,,
295,171,c:187,f:134,,
296,171,c:187,f:133,,
297,171,c:187,f:131,,
298,173,c:180,f:127,,
299,173,c:180,f:128,,
300,174,c:180,f:126,,
301,175,c:180,f:135,,
302,176,c:192,f:148,,
303,176,c:192,f:172,,
304,176,c:192,f:3181,,
305,177,c:253,f:1333,,
306,178,c:253,f:1333,,
307,179,c:253,f:169,,
308,180,c:253,f:169,,
309,181,c:190,f:367,,
